Dataset,Model,Accuracy
BreastCancer,RandomForest,0.9707602339181286
BreastCancer,DecisionTree,0.9415204678362572
BreastCancer,SVM,0.935672514619883
Iris,RandomForest,1.0
Iris,DecisionTree,1.0
Iris,SVM,1.0
Wine,RandomForest,1.0
Wine,DecisionTree,0.9629629629629628
Wine,SVM,0.7592592592592593
Digits,RandomForest,0.975925925925926
Digits,DecisionTree,0.8425925925925926
Digits,SVM,0.987037037037037
Pima,RandomForest,0.7532467532467533
Pima,DecisionTree,0.7012987012987013
Pima,SVM,0.7359307359307359
Titanic,RandomForest,0.7985074626865671
Titanic,DecisionTree,0.8022388059701493
Titanic,SVM,0.6082089552238806
Titanic,RandomForest,0.8100558659217877
Titanic,DecisionTree,0.8100558659217877
Titanic,SVM,0.8156424581005587
Titanic,XGBoost,0.8100558659217877
BreastCancer,RandomForest,0.9707602339181286
BreastCancer,DecisionTree,0.9415204678362572
BreastCancer,SVM,0.935672514619883
Iris,RandomForest,1.0
Iris,DecisionTree,1.0
Iris,SVM,1.0
Wine,RandomForest,1.0
Wine,DecisionTree,0.9629629629629628
Wine,SVM,0.7592592592592593
Digits,RandomForest,0.975925925925926
Digits,DecisionTree,0.8425925925925926
Digits,SVM,0.987037037037037
Pima,RandomForest,0.7532467532467533
Pima,DecisionTree,0.7012987012987013
Pima,SVM,0.7359307359307359
Titanic,RandomForest,0.7985074626865671
Titanic,DecisionTree,0.8022388059701493
Titanic,SVM,0.6082089552238806
